Total,Student,Course
100,0,100,
70,0,70,
80,0,80,
70,0,70,
100,0,100,
170,0,170,
70,0,70,
100,0,100,
60,0,60,
120,0,120,
90,0,90,
90,0,90,
60,0,60,
90,0,90,
120,0,120,
80,0,80,
40,0,40,
60,0,60,
110,0,110,
110,0,110,
90,0,90,
100,0,100,
120,0,120,
100,0,100,
120,0,120,
120,0,120,
110,0,110,
150,0,150,
80,0,80,
90,0,90,
80,0,80,
190,0,190,
80,0,80,
110,0,110,
90,0,90,
100,0,100,
80,0,80,
100,0,100,
70,0,70,
80,0,80,
90,0,90,
90,0,90,
60,0,60,
90,0,90,
100,0,100,
100,0,100,
110,0,110,
90,0,90,
70,0,70,
60,0,60,
100,0,100,
100,0,100,
110,0,110,
70,0,70,
140,0,140,
70,0,70,
90,0,90,
70,0,70,
80,0,80,
70,0,70,
120,0,120,
80,0,80,
60,0,60,
120,0,120,
60,0,60,
90,0,90,
60,0,60,
50,0,50,
90,0,90,
60,0,60,
100,0,100,
70,0,70,
90,0,90,
100,0,100,
120,0,120,
120,0,120,
40,0,40,
100,0,100,
120,0,120,
130,0,130,
100,0,100,
50,0,50,
110,0,110,
150,0,150,
130,0,130,
120,0,120,
110,0,110,
110,0,110,
110,0,110,
90,0,90,
60,0,60,
120,0,120,
100,0,100,
90,0,90,
70,0,70,
120,0,120,
100,0,100,
80,0,80,
100,0,100,
80,0,80,
80,0,80,
90,0,90,
130,0,130,
100,0,100,
70,0,70,
40,0,40,
80,0,80,
70,0,70,
80,0,80,
70,0,70,
90,0,90,
80,0,80,
70,0,70,
90,0,90,
50,0,50,
90,0,90,
110,0,110,
70,0,70,
110,0,110,
50,0,50,
60,0,60,
120,0,120,
90,0,90,
110,0,110,
140,0,140,
70,0,70,
110,0,110,
100,0,100,
80,0,80,
20,0,20,
120,0,120,
90,0,90,
80,0,80,
110,0,110,
80,0,80,
50,0,50,
90,0,90,
110,0,110,
60,0,60,
100,0,100,
80,0,80,
130,0,130,
80,0,80,
80,0,80,
90,0,90,
110,0,110,
40,0,40,
50,0,50,
100,0,100,
130,0,130,
100,0,100,
70,0,70,
110,0,110,
50,0,50,
90,0,90,
110,0,110,
90,0,90,
100,0,100,
70,0,70,
90,0,90,
100,0,100,
100,0,100,
110,0,110,
120,0,120,
90,0,90,
90,0,90,
130,0,130,
80,0,80,
100,0,100,
120,0,120,
30,0,30,
60,0,60,
80,0,80,
70,0,70,
70,0,70,
120,0,120,
100,0,100,
130,0,130,
70,0,70,
90,0,90,
100,0,100,
70,0,70,
110,0,110,
70,0,70,
90,0,90,
70,0,70,
80,0,80,
100,0,100,
50,0,50,
90,0,90,
120,0,120,
70,0,70,
70,0,70,
110,0,110,
130,0,130,
100,0,100,
100,0,100,
100,0,100,
130,0,130,
110,0,110,
70,0,70,
70,0,70,
90,0,90,
40,0,40,
100,0,100,
130,0,130,
90,0,90,
70,0,70,
90,0,90,
70,0,70,
140,0,140,
100,0,100,
100,0,100,
90,0,90,
100,0,100,
80,0,80,
50,0,50,
80,0,80,
120,0,120,
150,0,150,
60,0,60,
50,0,50,
120,0,120,
90,0,90,
30,0,30,
130,0,130,
120,0,120,
80,0,80,
100,0,100,
60,0,60,
120,0,120,
100,0,100,
80,0,80,
90,0,90,
70,0,70,
100,0,100,
100,0,100,
130,0,130,
80,0,80,
80,0,80,
70,0,70,
70,0,70,
30,0,30,
50,0,50,
80,0,80,
90,0,90,
40,0,40,
80,0,80,
120,0,120,
80,0,80,
120,0,120,
160,0,160,
70,0,70,
130,0,130,
100,0,100,
60,0,60,
120,0,120,
90,0,90,
90,0,90,
80,0,80,
100,0,100,
50,0,50,
60,0,60,
80,0,80,
80,0,80,
100,0,100,
120,0,120,
130,0,130,
80,0,80,
110,0,110,
90,0,90,
70,0,70,
100,0,100,
30,0,30,
40,0,40,
110,0,110,
140,0,140,
80,0,80,
130,0,130,
150,0,150,
60,0,60,
100,0,100,
110,0,110,
100,0,100,
80,0,80,
90,0,90,
100,0,100,
130,0,130,
50,0,50,
80,0,80,
60,0,60,
90,0,90,
100,0,100,
130,0,130,
70,0,70,
60,0,60,
60,0,60,
60,0,60,
100,0,100,
120,0,120,
60,0,60,
80,0,80,
90,0,90,
100,0,100,
130,0,130,
80,0,80,
140,0,140,
110,0,110,
80,0,80,
90,0,90,
40,0,40,
120,0,120,
130,0,130,
60,0,60,
120,0,120,
130,0,130,
90,0,90,
80,0,80,
60,0,60,
80,0,80,
50,0,50,
60,0,60,
130,0,130,
70,0,70,
50,0,50,
70,0,70,
40,0,40,
100,0,100,
110,0,110,
150,0,150,
60,0,60,
80,0,80,
110,0,110,
70,0,70,
80,0,80,
80,0,80,
50,0,50,
100,0,100,
50,0,50,
100,0,100,
90,0,90,
90,0,90,
60,0,60,
110,0,110,
60,0,60,
30,0,30,
130,0,130,
50,0,50,
120,0,120,
100,0,100,
100,0,100,
70,0,70,
40,0,40,
120,0,120,
50,0,50,
30,0,30,
100,0,100,
110,0,110,
60,0,60,
90,0,90,
150,0,150,
80,0,80,
120,0,120,
100,0,100,
90,0,90,
50,0,50,
160,0,160,
90,0,90,
70,0,70,
100,0,100,
40,0,40,
80,0,80,
100,0,100,
80,0,80,
120,0,120,
130,0,130,
140,0,140,
80,0,80,
90,0,90,
50,0,50,
90,0,90,
100,0,100,
50,0,50,
120,0,120,
60,0,60,
60,0,60,
90,0,90,
120,0,120,
80,0,80,
50,0,50,
120,0,120,
120,0,120,
100,0,100,
80,0,80,
60,0,60,
130,0,130,
60,0,60,
100,0,100,
90,0,90,
140,0,140,
100,0,100,
80,0,80,
80,0,80,
110,0,110,
90,0,90,
150,0,150,
80,0,80,
80,0,80,
70,0,70,
80,0,80,
100,0,100,
50,0,50,
110,0,110,
30,0,30,
80,0,80,
30,0,30,
140,0,140,
90,0,90,
90,0,90,
90,0,90,
110,0,110,
130,0,130,
70,0,70,
90,0,90,
90,0,90,
110,0,110,
110,0,110,
60,0,60,
140,0,140,
90,0,90,
110,0,110,
70,0,70,
100,0,100,
70,0,70,
90,0,90,
90,0,90,
90,0,90,
80,0,80,
60,0,60,
100,0,100,
90,0,90,
150,0,150,
120,0,120,
80,0,80,
110,0,110,
100,0,100,
140,0,140,
90,0,90,
50,0,50,
80,0,80,
110,0,110,
40,0,40,
90,0,90,
90,0,90,
50,0,50,
120,0,120,
70,0,70,
70,0,70,
90,0,90,
30,0,30,
110,0,110,
80,0,80,
60,0,60,
120,0,120,
70,0,70,
90,0,90,
110,0,110,
120,0,120,
100,0,100,
90,0,90,
110,0,110,
70,0,70,
70,0,70,
40,0,40,
70,0,70,
120,0,120,
120,0,120,
80,0,80,
30,0,30,
100,0,100,
110,0,110,
110,0,110,
100,0,100,
120,0,120,
100,0,100,
110,0,110,
70,0,70,
150,0,150,
70,0,70,
60,0,60,
80,0,80,
60,0,60,
60,0,60,
70,0,70,
140,0,140,
70,0,70,
60,0,60,
60,0,60,
90,0,90,
70,0,70,
50,0,50,
80,0,80,
140,0,140,
100,0,100,
60,0,60,
80,0,80,
50,0,50,
100,0,100,
90,0,90,
100,0,100,
100,0,100,
130,0,130,
120,0,120,
120,0,120,
90,0,90,
140,0,140,
90,0,90,
70,0,70,
90,0,90,
90,0,90,
30,0,30,
80,0,80,
80,0,80,
70,0,70,
100,0,100,
120,0,120,
110,0,110,
90,0,90,
90,0,90,
40,0,40,
100,0,100,
140,0,140,
50,0,50,
100,0,100,
70,0,70,
120,0,120,
110,0,110,
70,0,70,
100,0,100,
30,0,30,
90,0,90,
90,0,90,
80,0,80,
100,0,100,
120,0,120,
50,0,50,
130,0,130,
90,0,90,
140,0,140,
70,0,70,
100,0,100,
110,0,110,
100,0,100,
60,0,60,
70,0,70,
110,0,110,
120,0,120,
100,0,100,
90,0,90,
110,0,110,
110,0,110,
110,0,110,
70,0,70,
80,0,80,
80,0,80,
120,0,120,
90,0,90,
100,0,100,
100,0,100,
60,0,60,
120,0,120,
70,0,70,
50,0,50,
60,0,60,
90,0,90,
100,0,100,
80,0,80,
110,0,110,
50,0,50,
70,0,70,
60,0,60,
80,0,80,
60,0,60,
90,0,90,
80,0,80,
70,0,70,
100,0,100,
120,0,120,
130,0,130,
80,0,80,
120,0,120,
120,0,120,
100,0,100,
110,0,110,
110,0,110,
70,0,70,
100,0,100,
120,0,120,
100,0,100,
100,0,100,
90,0,90,
80,0,80,
130,0,130,
80,0,80,
70,0,70,
110,0,110,
100,0,100,
30,0,30,
70,0,70,
80,0,80,
50,0,50,
60,0,60,
40,0,40,
80,0,80,
80,0,80,
70,0,70,
120,0,120,
120,0,120,
120,0,120,
90,0,90,
120,0,120,
40,0,40,
130,0,130,
60,0,60,
110,0,110,
120,0,120,
140,0,140,
120,0,120,
80,0,80,
120,0,120,
120,0,120,
70,0,70,
90,0,90,
130,0,130,
90,0,90,
80,0,80,
100,0,100,
90,0,90,
80,0,80,
90,0,90,
90,0,90,
70,0,70,
80,0,80,
60,0,60,
90,0,90,
140,0,140,
70,0,70,
90,0,90,
70,0,70,
120,0,120,
110,0,110,
80,0,80,
100,0,100,
60,0,60,
100,0,100,
120,0,120,
100,0,100,
110,0,110,
60,0,60,
100,0,100,
80,0,80,
120,0,120,
70,0,70,
70,0,70,
140,0,140,
60,0,60,
100,0,100,
60,0,60,
60,0,60,
110,0,110,
100,0,100,
120,0,120,
140,0,140,
80,0,80,
70,0,70,
90,0,90,
70,0,70,
60,0,60,
90,0,90,
150,0,150,
60,0,60,
130,0,130,
50,0,50,
100,0,100,
100,0,100,
110,0,110,
130,0,130,
60,0,60,
50,0,50,
40,0,40,
100,0,100,
50,0,50,
100,0,100,
120,0,120,
70,0,70,
80,0,80,
80,0,80,
90,0,90,
90,0,90,
40,0,40,
70,0,70,
50,0,50,
130,0,130,
60,0,60,
150,0,150,
50,0,50,
80,0,80,
70,0,70,
100,0,100,
100,0,100,
30,0,30,
100,0,100,
60,0,60,
90,0,90,
100,0,100,
90,0,90,
120,0,120,
110,0,110,
110,0,110,
120,0,120,
100,0,100,
130,0,130,
100,0,100,
80,0,80,
80,0,80,
70,0,70,
50,0,50,
90,0,90,
50,0,50,
30,0,30,
140,0,140,
80,0,80,
110,0,110,
60,0,60,
50,0,50,
80,0,80,
100,0,100,
80,0,80,
90,0,90,
130,0,130,
90,0,90,
70,0,70,
90,0,90,
60,0,60,
90,0,90,
50,0,50,
80,0,80,
80,0,80,
80,0,80,
100,0,100,
80,0,80,
90,0,90,
90,0,90,
130,0,130,
100,0,100,
70,0,70,
70,0,70,
70,0,70,
100,0,100,
60,0,60,
60,0,60,
110,0,110,
120,0,120,
120,0,120,
170,0,170,
110,0,110,
120,0,120,
80,0,80,
100,0,100,
90,0,90,
130,0,130,
90,0,90,
130,0,130,
90,0,90,
90,0,90,
120,0,120,
40,0,40,
80,0,80,
110,0,110,
140,0,140,
80,0,80,
130,0,130,
70,0,70,
50,0,50,
110,0,110,
120,0,120,
110,0,110,
120,0,120,
90,0,90,
60,0,60,
90,0,90,
60,0,60,
90,0,90,
50,0,50,
140,0,140,
70,0,70,
60,0,60,
60,0,60,
60,0,60,
110,0,110,
90,0,90,
130,0,130,
90,0,90,
80,0,80,
120,0,120,
100,0,100,
120,0,120,
120,0,120,
120,0,120,
70,0,70,
80,0,80,
30,0,30,
40,0,40,
80,0,80,
80,0,80,
90,0,90,
60,0,60,
110,0,110,
100,0,100,
60,0,60,
70,0,70,
100,0,100,
90,0,90,
90,0,90,
80,0,80,
70,0,70,
100,0,100,
90,0,90,
100,0,100,
160,0,160,
100,0,100,
90,0,90,
110,0,110,
90,0,90,
60,0,60,
50,0,50,
60,0,60,
100,0,100,
50,0,50,
80,0,80,
90,0,90,
100,0,100,
50,0,50,
100,0,100,
130,0,130,
90,0,90,
120,0,120,
50,0,50,
130,0,130,
60,0,60,
130,0,130,
120,0,120,
60,0,60,
90,0,90,
80,0,80,
120,0,120,
40,0,40,
120,0,120,
160,0,160,
70,0,70,
80,0,80,
90,0,90,
50,0,50,
120,0,120,
70,0,70,
90,0,90,
30,0,30,
80,0,80,
100,0,100,
100,0,100,
80,0,80,
80,0,80,
110,0,110,
70,0,70,
100,0,100,
120,0,120,
90,0,90,
130,0,130,
70,0,70,
160,0,160,
130,0,130,
60,0,60,
40,0,40,
120,0,120,
90,0,90,
50,0,50,
170,0,170,
130,0,130,
130,0,130,
110,0,110,
90,0,90,
100,0,100,
160,0,160,
90,0,90,
130,0,130,
80,0,80,
100,0,100,
120,0,120,
100,0,100,
150,0,150,
110,0,110,
60,0,60,
90,0,90,
90,0,90,
130,0,130,
60,0,60,
70,0,70,
50,0,50,
90,0,90,
70,0,70,
40,0,40,
50,0,50,
90,0,90,
100,0,100,
120,0,120,
150,0,150,
70,0,70,
90,0,90,
140,0,140,
120,0,120,
130,0,130,
60,0,60,
70,0,70,
40,0,40,
70,0,70,
100,0,100,
90,0,90,
90,0,90,
110,0,110,
90,0,90,
90,0,90,
60,0,60,
100,0,100,
60,0,60,
140,0,140,
110,0,110,
90,0,90,
70,0,70,
90,0,90,
80,0,80,
100,0,100,
80,0,80,
60,0,60,
60,0,60,
100,0,100,
110,0,110,
50,0,50,
120,0,120,
120,0,120,
80,0,80,
50,0,50,
40,0,40,
30,0,30,
90,0,90,
100,0,100,
90,0,90,
100,0,100,
100,0,100,
80,0,80,
120,0,120,
120,0,120,
100,0,100,
110,0,110,
80,0,80,
100,0,100,
80,0,80,
110,0,110,
120,0,120,
70,0,70,
130,0,130,
70,0,70,
70,0,70,
110,0,110,
120,0,120,
100,0,100,
100,0,100,
120,0,120,
110,0,110,
120,0,120,
100,0,100,
140,0,140,
50,0,50,
90,0,90,
60,0,60,
110,0,110,
70,0,70,
120,0,120,
100,0,100,
80,0,80,
100,0,100,
60,0,60,
80,0,80,
110,0,110,
140,0,140,
130,0,130,
100,0,100,
70,0,70,
120,0,120,
150,0,150,
90,0,90,
30,0,30,
100,0,100,
60,0,60,
120,0,120,
50,0,50,
80,0,80,
110,0,110,
90,0,90,
40,0,40,
120,0,120,
90,0,90,
110,0,110,
100,0,100,
90,0,90,
100,0,100,
80,0,80,
80,0,80,
80,0,80,
90,0,90,
100,0,100,
120,0,120,
60,0,60,
80,0,80,
90,0,90,
90,0,90,
60,0,60,
90,0,90,
90,0,90,
80,0,80,
50,0,50,
130,0,130,
100,0,100,
20,0,20,
140,0,140,
100,0,100,
80,0,80,
80,0,80,
90,0,90,
130,0,130,
100,0,100,
50,0,50,
90,0,90,
120,0,120,
70,0,70,
50,0,50,
40,0,40,
120,0,120,
50,0,50,
130,0,130,
80,0,80,
50,0,50,
80,0,80,
80,0,80,
80,0,80,
50,0,50,
120,0,120,
90,0,90,
100,0,100,
80,0,80,
80,0,80,
80,0,80,
100,0,100,
70,0,70,
130,0,130,
140,0,140,
70,0,70,
100,0,100,
150,0,150,
120,0,120,
100,0,100,
130,0,130,
120,0,120,
100,0,100,
90,0,90,
90,0,90,
60,0,60,
70,0,70,
90,0,90,
100,0,100,
110,0,110,
50,0,50,
70,0,70,
110,0,110,
120,0,120,
70,0,70,
100,0,100,
30,0,30,
70,0,70,
100,0,100,
90,0,90,
110,0,110,
80,0,80,
60,0,60,
80,0,80,
80,0,80,
60,0,60,
80,0,80,
60,0,60,
120,0,120,
110,0,110,
80,0,80,
50,0,50,
130,0,130,
100,0,100,
100,0,100,
70,0,70,
70,0,70,
110,0,110,
70,0,70,
50,0,50,
50,0,50,
100,0,100,
70,0,70,
110,0,110,
80,0,80,
120,0,120,
60,0,60,
50,0,50,
90,0,90,
90,0,90,
120,0,120,
70,0,70,
90,0,90,
100,0,100,
90,0,90,
40,0,40,
90,0,90,
120,0,120,
170,0,170,
100,0,100,
80,0,80,
50,0,50,
110,0,110,
80,0,80,
100,0,100,
90,0,90,
130,0,130,
100,0,100,
80,0,80,
40,0,40,
100,0,100,
140,0,140,
80,0,80,
170,0,170,
90,0,90,
110,0,110,
60,0,60,
70,0,70,
70,0,70,
80,0,80,
80,0,80,
110,0,110,
100,0,100,
60,0,60,
50,0,50,
110,0,110,
120,0,120,
90,0,90,
70,0,70,
120,0,120,
100,0,100,
110,0,110,
100,0,100,
120,0,120,
50,0,50,
80,0,80,
150,0,150,
190,0,190,
100,0,100,
70,0,70,
110,0,110,
100,0,100,
40,0,40,
100,0,100,
50,0,50,
160,0,160,
60,0,60,
80,0,80,
120,0,120,
80,0,80,
130,0,130,
90,0,90,
100,0,100,
110,0,110,
90,0,90,
80,0,80,
80,0,80,
80,0,80,
130,0,130,
100,0,100,
120,0,120,
100,0,100,
90,0,90,
130,0,130,
50,0,50,
80,0,80,
80,0,80,
160,0,160,
80,0,80,
30,0,30,
110,0,110,
140,0,140,
110,0,110,
90,0,90,
100,0,100,
110,0,110,
90,0,90,
90,0,90,
70,0,70,
90,0,90,
60,0,60,
90,0,90,
90,0,90,
80,0,80,
110,0,110,
100,0,100,
130,0,130,
110,0,110,
120,0,120,
100,0,100,
70,0,70,
80,0,80,
70,0,70,
140,0,140,
60,0,60,
100,0,100,
80,0,80,
90,0,90,
90,0,90,
60,0,60,
100,0,100,
90,0,90,
70,0,70,
80,0,80,
50,0,50,
70,0,70,
110,0,110,
80,0,80,
70,0,70,
120,0,120,
110,0,110,
70,0,70,
120,0,120,
60,0,60,
90,0,90,
90,0,90,
150,0,150,
40,0,40,
110,0,110,
100,0,100,
100,0,100,
90,0,90,
60,0,60,
70,0,70,
110,0,110,
100,0,100,
80,0,80,
130,0,130,
60,0,60,
130,0,130,
140,0,140,
110,0,110,
40,0,40,
60,0,60,
120,0,120,
130,0,130,
60,0,60,
30,0,30,
80,0,80,
90,0,90,
110,0,110,
70,0,70,
90,0,90,
70,0,70,
160,0,160,
100,0,100,
70,0,70,
70,0,70,
80,0,80,
50,0,50,
60,0,60,
90,0,90,
90,0,90,
120,0,120,
100,0,100,
130,0,130,
60,0,60,
130,0,130,
130,0,130,
90,0,90,
70,0,70,
80,0,80,
100,0,100,
110,0,110,
50,0,50,
100,0,100,
100,0,100,
70,0,70,
80,0,80,
30,0,30,
60,0,60,
110,0,110,
100,0,100,
90,0,90,
110,0,110,
110,0,110,
70,0,70,
80,0,80,
80,0,80,
120,0,120,
90,0,90,
60,0,60,
90,0,90,
130,0,130,
80,0,80,
110,0,110,
170,0,170,
120,0,120,
90,0,90,
120,0,120,
90,0,90,
140,0,140,
40,0,40,
110,0,110,
90,0,90,
90,0,90,
80,0,80,
110,0,110,
80,0,80,
100,0,100,
100,0,100,
50,0,50,
30,0,30,
30,0,30,
120,0,120,
50,0,50,
50,0,50,
60,0,60,
110,0,110,
110,0,110,
90,0,90,
110,0,110,
120,0,120,
110,0,110,
120,0,120,
90,0,90,
130,0,130,
150,0,150,
90,0,90,
120,0,120,
110,0,110,
130,0,130,
70,0,70,
80,0,80,
100,0,100,
100,0,100,
100,0,100,
80,0,80,
60,0,60,
20,0,20,
80,0,80,
90,0,90,
60,0,60,
80,0,80,
50,0,50,
100,0,100,
120,0,120,
100,0,100,
120,0,120,
70,0,70,
80,0,80,
140,0,140,
60,0,60,
130,0,130,
70,0,70,
60,0,60,
50,0,50,
50,0,50,
120,0,120,
40,0,40,
90,0,90,
110,0,110,
80,0,80,
100,0,100,
50,0,50,
70,0,70,
120,0,120,
120,0,120,
120,0,120,
70,0,70,
110,0,110,
90,0,90,
50,0,50,
50,0,50,
40,0,40,
80,0,80,
50,0,50,
60,0,60,
100,0,100,
80,0,80,
60,0,60,
80,0,80,
100,0,100,
100,0,100,
130,0,130,
80,0,80,
120,0,120,
50,0,50,
80,0,80,
100,0,100,
110,0,110,
110,0,110,
90,0,90,
150,0,150,
100,0,100,
100,0,100,
90,0,90,
70,0,70,
120,0,120,
80,0,80,
80,0,80,
110,0,110,
100,0,100,
60,0,60,
110,0,110,
120,0,120,
50,0,50,
90,0,90,
90,0,90,
80,0,80,
120,0,120,
60,0,60,
100,0,100,
50,0,50,
90,0,90,
80,0,80,
90,0,90,
120,0,120,
120,0,120,
140,0,140,
90,0,90,
110,0,110,
120,0,120,
90,0,90,
110,0,110,
100,0,100,
90,0,90,
100,0,100,
110,0,110,
100,0,100,
100,0,100,
120,0,120,
30,0,30,
50,0,50,
80,0,80,
140,0,140,
70,0,70,
80,0,80,
70,0,70,
70,0,70,
40,0,40,
50,0,50,
110,0,110,
160,0,160,
100,0,100,
130,0,130,
80,0,80,
90,0,90,
90,0,90,
110,0,110,
170,0,170,
80,0,80,
120,0,120,
60,0,60,
100,0,100,
110,0,110,
90,0,90,
100,0,100,
120,0,120,
90,0,90,
30,0,30,
100,0,100,
100,0,100,
70,0,70,
50,0,50,
80,0,80,
90,0,90,
60,0,60,
40,0,40,
70,0,70,
90,0,90,
80,0,80,
140,0,140,
80,0,80,
110,0,110,
60,0,60,
120,0,120,
120,0,120,
60,0,60,
140,0,140,
90,0,90,
70,0,70,
130,0,130,
100,0,100,
120,0,120,
80,0,80,
80,0,80,
70,0,70,
80,0,80,
90,0,90,
80,0,80,
120,0,120,
100,0,100,
60,0,60,
90,0,90,
130,0,130,
40,0,40,
170,0,170,
120,0,120,
90,0,90,
70,0,70,
60,0,60,
80,0,80,
120,0,120,
130,0,130,
110,0,110,
80,0,80,
140,0,140,
110,0,110,
90,0,90,
100,0,100,
90,0,90,
90,0,90,
80,0,80,
120,0,120,
100,0,100,
80,0,80,
70,0,70,
90,0,90,
100,0,100,
90,0,90,
80,0,80,
100,0,100,
110,0,110,
110,0,110,
100,0,100,
100,0,100,
110,0,110,
90,0,90,
100,0,100,
110,0,110,
60,0,60,
60,0,60,
80,0,80,
70,0,70,
100,0,100,
90,0,90,
110,0,110,
120,0,120,
30,0,30,
110,0,110,
70,0,70,
80,0,80,
90,0,90,
90,0,90,
100,0,100,
90,0,90,
70,0,70,
80,0,80,
90,0,90,
70,0,70,
70,0,70,
90,0,90,
90,0,90,
80,0,80,
60,0,60,
60,0,60,
90,0,90,
110,0,110,
90,0,90,
40,0,40,
60,0,60,
90,0,90,
100,0,100,
40,0,40,
100,0,100,
60,0,60,
60,0,60,
80,0,80,
140,0,140,
70,0,70,
110,0,110,
60,0,60,
110,0,110,
130,0,130,
130,0,130,
90,0,90,
120,0,120,
60,0,60,
90,0,90,
70,0,70,
110,0,110,
90,0,90,
100,0,100,
100,0,100,
110,0,110,
60,0,60,
30,0,30,
50,0,50,
120,0,120,
130,0,130,
80,0,80,
70,0,70,
60,0,60,
60,0,60,
90,0,90,
90,0,90,
130,0,130,
50,0,50,
80,0,80,
40,0,40,
60,0,60,
90,0,90,
60,0,60,
60,0,60,
50,0,50,
140,0,140,
80,0,80,
80,0,80,
50,0,50,
90,0,90,
90,0,90,
130,0,130,
120,0,120,
160,0,160,
30,0,30,
80,0,80,
130,0,130,
120,0,120,
50,0,50,
110,0,110,
70,0,70,
110,0,110,
50,0,50,
80,0,80,
60,0,60,
80,0,80,
100,0,100,
90,0,90,
90,0,90,
130,0,130,
60,0,60,
110,0,110,
130,0,130,
80,0,80,
150,0,150,
80,0,80,
100,0,100,
150,0,150,
170,0,170,
30,0,30,
110,0,110,
60,0,60,
80,0,80,
100,0,100,
110,0,110,
120,0,120,
